Stock,Date,Price
Bajaj,4/25/2023,1346
Bajaj,4/26/2023,1335
Bajaj,4/27/2023,1360
Bajaj,4/28/2023,1351
Bajaj,5/2/2023,1349
Bajaj,5/3/2023,1346
Bajaj,5/4/2023,1374
Bajaj,5/5/2023,1360
Bajaj,5/8/2023,1405
Bajaj,5/9/2023,1408
Bajaj,5/10/2023,1414
Bajaj,5/11/2023,1420
Bajaj,5/12/2023,1423
Bajaj,5/15/2023,1421
Bajaj,5/16/2023,1428
Bajaj,5/17/2023,1415
Bajaj,5/18/2023,1415
Bajaj,5/19/2023,1416
Bajaj,5/22/2023,1413
Bajaj,5/23/2023,1438
Bajaj,5/24/2023,1426
Bajaj,5/25/2023,1427
Bajaj,5/26/2023,1438
Bajaj,5/29/2023,1450
Bajaj,5/30/2023,1465
Bajaj,5/31/2023,1453
Bajaj,6/1/2023,1450
Bajaj,6/2/2023,1457
Bajaj,6/5/2023,1459
Bajaj,6/6/2023,1475
Bajaj,6/7/2023,1481
Bajaj,6/8/2023,1467
Bajaj,6/9/2023,1466
Bajaj,6/12/2023,1466
Bajaj,6/13/2023,1488
Bajaj,6/14/2023,1480
Bajaj,6/15/2023,1476
Bajaj,6/16/2023,1509
Bajaj,6/19/2023,1542
Bajaj,6/20/2023,1521
Bajaj,6/21/2023,1519
Bajaj,6/22/2023,1509
Bajaj,6/23/2023,1502
Bajaj,6/26/2023,1509
Bajaj,6/27/2023,1522
Bajaj,6/28/2023,1519
Bajaj,6/30/2023,1527
Bajaj,7/3/2023,1541
